ts_code,name,start_date,end_date,ann_date,change_reason
688182.SH,灿勤科技,20211104,,,其他
301133.SZ,金钟股份,20211104,,,其他
301118.SZ,恒光股份,20211104,,,其他
301180.SZ,万祥科技,20211104,,,其他
300475.SZ,香农芯创,20211104,,20211104,改名
838924.BJ,广脉科技,20211103,,,其他
603219.SH,富佳股份,20211103,,,其他
301169.SZ,零点有数,20211103,,,其他
603048.SH,浙江黎明,20211103,,,其他
688212.SH,澳华内镜,20211103,,,其他
301092.SZ,争光股份,20211102,,,其他
301129.SZ,瑞纳智能,20211102,,,其他
688105.SH,诺唯赞,20211102,,,其他
688107.SH,安路科技,20211102,,,其他
688210.SH,泛海统联,20211102,,,其他
001288.SZ,运机集团,20211101,,,其他
301098.SZ,金埔园林,20211101,,,其他
301093.SZ,华兰股份,20211101,,,其他
301188.SZ,力诺特玻,20211101,,,其他
603213.SH,镇洋发展,20211029,,,其他
301185.SZ,鸥玛软件,20211029,,,其他
301099.SZ,雅创电子,20211029,,,其他
600662.SH,外服控股,20211029,,20211026,改名
301091.SZ,深城交,20211029,,,其他
301178.SZ,天亿马,20211029,,,其他
688075.SH,安旭生物,20211029,,,其他
688232.SH,新点软件,20211029,,,其他
688162.SH,巨一科技,20211029,,,其他
301149.SZ,隆华新材,20211029,,,其他
688082.SH,盛美上海,20211029,,,其他
688739.SH,成大生物,20211028,,,其他
301128.SZ,强瑞技术,20211028,,,其他
301178.SZ,天亿马,20211028,,,其他
301180.SZ,万祥科技,20211028,,,其他
301088.SZ,戎美股份,20211028,,,其他
301118.SZ,恒光股份,20211028,,,其他
688182.SH,灿勤科技,20211028,,,其他
836892.BJ,广咨国际,20211028,,,其他
301089.SZ,拓新药业,20211027,,,其他
001317.SZ,三羊马,20211027,,,其他
301082.SZ,久盛电气,20211027,,,其他
688280.SH,精进电动,20211027,,,其他
688257.SH,新锐股份,20211027,,,其他
688212.SH,澳华内镜,20211027,,,其他
603048.SH,浙江黎明,20211027,,,其他
002648.SZ,卫星化学,20211027,,20211027,改名
688280.SH,精进电动-UW,20211027,,,其他
605138.SH,盛泰集团,20211027,,,其他
301128.SZ,强瑞技术,20211027,,,其他
688280.SH,N精进-UW,20211027,,,其他
688553.SH,汇宇制药,20211026,,,其他
301090.SZ,华润材料,20211026,,,其他
688211.SH,中科微至,20211026,,,其他
688553.SH,汇宇制药-W,20211026,,,其他
688107.SH,安路科技,20211026,,,其他
688105.SH,诺唯赞,20211026,,,其他
688255.SH,凯尔达,20211025,,,其他
605566.SH,福莱蒽特,20211025,,,其他
872925.BJ,锦好医疗,20211025,,,其他
301087.SZ,可孚医疗,20211025,,,其他
301098.SZ,金埔园林,20211025,,,其他
301188.SZ,力诺特玻,20211022,,,其他
688737.SH,中自科技,20211022,,,其他
301149.SZ,隆华新材,20211022,,,其他
603213.SH,镇洋发展,20211022,,,其他
688162.SH,巨一科技,20211022,,,其他
605555.SH,德昌股份,20211021,,,其他
301083.SZ,百胜智能,20211021,,,其他
001219.SZ,青岛食品,20211021,,,其他
301086.SZ,鸿富瀚,20211020,,,其他
688285.SH,高铁电气,20211020,,,其他
001317.SZ,三羊马,20211020,,,其他
301081.SZ,严牌股份,20211020,,,其他
688722.SH,同益中,20211019,,,其他
300671.SZ,富满微,20211019,,20211018,改名
001288.SZ,运机集团,20211019,,,其他
301079.SZ,邵阳液压,20211019,,,其他
001216.SZ,华瓷股份,20211019,,,其他
301169.SZ,零点有数,20211019,,,其他
301080.SZ,百普赛斯,20211018,,,其他
301092.SZ,争光股份,20211018,,,其他
301085.SZ,亚康股份,20211018,,,其他
301093.SZ,华兰股份,20211018,,,其他
688739.SH,成大生物,20211018,,,其他
688272.SH,富吉瑞,20211018,,,其他
688772.SH,珠海冠宇,20211015,,,其他
301089.SZ,拓新药业,20211015,,,其他
001218.SZ,丽臣实业,20211015,,,其他
301091.SZ,深城交,20211015,,,其他
605138.SH,盛泰集团,20211015,,,其他
300650.SZ,太龙股份,20211015,,20211015,改名
600234.SH,科新发展,20211015,,20211012,改名
301090.SZ,华润材料,20211014,,,其他
301088.SZ,戎美股份,20211014,,,其他
688257.SH,新锐股份,20211014,,,其他
301078.SZ,孩子王,20211014,,,其他
688280.SH,精进电动,20211014,,,其他
301129.SZ,瑞纳智能,20211014,,,其他
688211.SH,中科微至,20211013,,,其他
605567.SH,春雪食品,20211013,,,其他
001288.SZ,运机集团,20211012,,,其他
301087.SZ,可孚医疗,20211012,,,其他
300089.SZ,ST文化,20211012,,20211009,ST
300020.SZ,银江技术,20211012,,20211012,改名
688255.SH,凯尔达,20211011,,,其他
603859.SH,能科科技,20211011,,20210929,其他
301076.SZ,新瀚新材,20211011,,,其他
688737.SH,中自科技,20211011,,,其他
301082.SZ,久盛电气,20211011,,,其他
688553.SH,汇宇制药,20211011,,,其他
430198.BJ,微创光电,20211008,,,其他
301081.SZ,严牌股份,20211008,,,其他
836433.BJ,大唐药业(测试),20211008,,,其他
605555.SH,德昌股份,20211008,,,其他
430198.BJ,微创光电(测试),20211008,,,其他
834765.BJ,美之高(测试),20211008,,,其他
605566.SH,福莱蒽特,20211008,,,其他
301083.SZ,百胜智能,20211008,,,其他
834765.BJ,美之高,20211008,,,其他
836433.BJ,大唐药业,20211008,,,其他
688285.SH,高铁电气,20210930,,,其他
301073.SZ,君亭酒店,20210930,,,其他
301077.SZ,星华反光,20210930,,,其他
301093.SZ,华兰股份,20210930,,,其他
301092.SZ,争光股份,20210930,,,其他
688257.SH,新锐股份,20210930,,,其他
688739.SH,成大生物,20210930,,,其他
688280.SH,精进电动,20210930,,,其他
001216.SZ,华瓷股份,20210930,,,其他
301090.SZ,华润材料,20210929,,,其他
301072.SZ,中捷精工,20210929,,,其他
001217.SZ,华尔泰,20210929,,,其他
301075.SZ,多瑞医药,20210929,,,其他
301091.SZ,深城交,20210929,,,其他
301079.SZ,邵阳液压,20210929,,,其他
301089.SZ,拓新药业,20210929,,,其他
301086.SZ,鸿富瀚,20210929,,,其他
001219.SZ,青岛食品,20210929,,,其他
688211.SH,中科微至,20210929,,,其他
601868.SH,中国能建,20210928,,,其他
301068.SZ,大地海洋,20210928,,,其他
688272.SH,富吉瑞,20210928,,,其他
688722.SH,同益中,20210928,,,其他
301086.SZ,鸿富瀚,20210928,,,其他
301088.SZ,戎美股份,20210928,,,其他
301085.SZ,亚康股份,20210928,,,其他
301087.SZ,可孚医疗,20210928,,,其他
301069.SZ,凯盛新材,20210927,,,其他
688737.SH,中自科技,20210927,,,其他
301078.SZ,孩子王,20210927,,,其他
688772.SH,珠海冠宇,20210927,,,其他
