ts_code,name,area,fullname,enname,cnspell,market,list_date
000593.SZ,德龙汇能,四川,德龙汇能集团股份有限公司,"Delong Composite Energy Group Co., Ltd",dlhn,主板,19960312
000595.SZ,宝塔实业,宁夏,宝塔实业股份有限公司,"Baota Industry Co.,Ltd.",btsy,主板,19960419
000596.SZ,古井贡酒,安徽,安徽古井贡酒股份有限公司,Anhui Gujing Distillery Company Limited,gjgj,主板,19960927
000597.SZ,东北制药,辽宁,东北制药集团股份有限公司,"Northeast Pharmaceutical Group Co., Ltd.",dbzy,主板,19960523
000598.SZ,兴蓉环境,四川,成都市兴蓉环境股份有限公司,"Chengdu Xingrong Environment Co., Ltd.",xrhj,主板,19960529
000599.SZ,青岛双星,山东,青岛双星股份有限公司,"Qingdao Doublestar Co.,Ltd",qdsx,主板,19960430
000600.SZ,建投能源,河北,河北建投能源投资股份有限公司,"Jointo Energy Investment Co.,Ltd.Hebei.",jtny,主板,19960606
000601.SZ,韶能股份,广东,广东韶能集团股份有限公司,"Guangdong Shaoneng Group Co.,Ltd",sngf,主板,19960830
000603.SZ,盛达资源,北京,盛达金属资源股份有限公司,"Shengda Resources Co.,Ltd.",sdzy,主板,19960823
000605.SZ,渤海股份,北京,渤海水业股份有限公司,"Bohai Water Industry Co., Ltd.",bhgf,主板,19960913
000606.SZ,ST顺利,青海,顺利办信息服务股份有限公司,"Shunliban Information Service Co., Ltd",stsl,主板,19961004
000607.SZ,华媒控股,浙江,浙江华媒控股股份有限公司,"Zhejiang Huamei Holding Co., Ltd.",hmkg,主板,19960830
000608.SZ,阳光股份,广西,阳光新业地产股份有限公司,"Yang Guang Co., Ltd.",yggf,主板,19960919
000609.SZ,*ST中迪,北京,北京中迪投资股份有限公司,"Beijing Zodi Investment Co., Ltd.",stzd,主板,19961010
000610.SZ,西安旅游,陕西,西安旅游股份有限公司,"Xi'an Tourism Co.,Ltd.",xaly,主板,19960926
